parallelism,parallel_size,profile_id,policy,phase,requests,calls_predicted,calls_truth,calls_abs_error,calls_ape,bytes_predicted,bytes_truth,bytes_abs_error,bytes_ape,calls_histogram_l1,calls_histogram_tv,bytes_histogram_l1,bytes_histogram_tv,log_payload_emd_log2_bytes,normalized_log_payload_emd,common_reference_cost_predicted_us,common_reference_cost_truth_us,common_reference_cost_ape,exact_histogram,comparison
pp,8,profile_01_burstgpt_1_c0,mb4,prefill,120,516.6666666666667,1366.6666666666667,850.0,0.6219512195121951,8459059200.0,8459059200.000001,9.5367431640625e-07,1.127399978955402e-16,1.7804878048780488,0.8902439024390244,1.4570985860933565,0.7285492930466783,1.8125111767217879,0.08631005603437085,87173.92533333335,91423.92533333333,0.04648673730103369,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_02_burstgpt_1_c1,mb1,decode,2433,19462.392108508015,19462.392108508015,0.0,0.0,159435916.15289766,159435916.15289766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98906.31970406906,98906.31970406906,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_02_burstgpt_1_c1,mb1,prefill,2433,2000.0,2000.0,0.0,0.0,3045107478.832717,3045107478.832717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40451.07478832717,40451.07478832717,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_02_burstgpt_1_c1,mb16,decode,2433,9066.173448417592,1408.9601315248665,7657.213316892726,5.434655775962661,159435916.15289766,159435916.1528977,2.9802322387695312e-08,1.8692351828125816e-16,1.8216731682136826,0.9108365841068413,1.3182125359013346,0.6591062679506673,3.3330334100170522,0.1587158766674787,46925.226403616936,8639.159819153308,4.4316886579157995,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_02_burstgpt_1_c1,mb16,prefill,2433,138.92314015618578,907.5215782983971,768.5984381422113,0.8469202898550724,3045107478.832717,3045107478.832717,0.0,0.0,1.9981884057971016,0.9990942028985508,1.993179918353627,0.9965899591768135,3.518865574512078,0.167565027357718,31145.6904891081,34988.682679819154,0.10983529233947478,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_02_burstgpt_1_c1,mb4,decode,2433,10983.148376489931,5400.7398273736135,5582.408549116318,1.0336377473363774,159435916.15289766,159435916.15289766,0.0,0.0,1.4245321779225915,0.7122660889612957,0.8075688460888664,0.4037844230444332,1.2927262576911651,0.06155839322338882,56510.10104397863,28598.05829839704,0.9760118136113491,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_02_burstgpt_1_c1,mb4,prefill,2433,501.4385532264694,1691.7385943279903,1190.300041101521,0.7035957240038873,3045107478.832717,3045107478.832717,0.0,0.0,1.977648202137998,0.988824101068999,1.9456162620468207,0.9728081310234103,2.0814678628479064,0.09911751727847173,32958.26755445952,38909.76775996712,0.1529564566466236,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_02_burstgpt_1_c1,mb1,decode,2433,19462.392108508015,19462.392108508015,0.0,0.0,159435916.15289766,159435916.15289766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98906.31970406906,98906.31970406906,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_02_burstgpt_1_c1,mb1,prefill,2433,2000.0,2000.0,0.0,0.0,3045107478.832717,3045107478.832717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40451.07478832717,40451.07478832717,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_02_burstgpt_1_c1,mb16,decode,2433,9066.173448417592,1509.2478421701603,7556.925606247432,5.007080610021787,159435916.15289766,159435916.15289766,0.0,0.0,1.790821128927085,0.8954105644635425,1.3133130596384524,0.6566565298192262,3.1171864646151635,0.14843745069596018,46925.226403616936,9140.598372379778,4.133714937679713,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
