configuration,topology_level,slice_type,slice_value,cases,h0_cost_mape,dnn_cost_mape,cost_mape_ratio,h0_cost_wape,dnn_cost_wape,cost_wape_ratio,h0_signed_bias,dnn_signed_bias,strict_mape_and_wape_improvement
P1D2,L2,overall,all,1800,0.025998162300639078,0.02207538453525528,0.849113267313999,0.023875392627415396,0.02013279609078011,0.8432446077415383,-0.006956948942169448,0.004029847293194718,True
P1D2,L2,segment,burstgpt_1,600,0.027487504815925785,0.02424954439966356,0.8822024611565977,0.023196749240927232,0.02076783049327859,0.8952905546194734,-0.003897357060023888,0.003954477746711755,True
P1D2,L2,segment,burstgpt_2,600,0.024130330732588978,0.01733634812406932,0.7184463535203803,0.02352248952943108,0.016378108548082818,0.6962744537558709,-0.012547501034221467,0.002926109867436812,True
P1D2,L2,segment,burstgpt_3,600,0.026376651353402465,0.024640261082032957,0.9341694194572003,0.02486933301873269,0.022302161317946267,0.8967736006891414,-0.005988987551819174,0.004947958505480594,True
P1D2,L3,model,deepseek-v2-lite,300,0.04785204922593269,0.04721544044648406,0.9866963110306334,0.031220552316495606,0.03007708211933989,0.9633744404786986,-0.0008744816557823446,0.005093383077171987,True
P1D2,L3,model,llama-3.2-3b-instruct,300,0.02273478252023929,0.019667550336255724,0.8650863635377637,0.021795241895464296,0.018673939471801015,0.8567897324272028,-0.008715593686083097,0.008423965420587312,True
P1D2,L3,model,mixtral-8x7b-instruct-v0.1,300,0.022529782567775995,0.016440588112732434,0.729726887655239,0.021606481213943304,0.015791870804651418,0.7308858230214947,-0.008536529019182254,0.003488658663889668,True
P1D2,L3,model,qwen2.5-14b-instruct,300,0.021850895664741143,0.01595726329795477,0.7302795978154614,0.021053804789583963,0.015373694814678287,0.7302098109261552,-0.010916167225685844,0.0025150247164426693,True
P1D2,L3,model,qwen3-30b-a3b,300,0.01846075866243394,0.01710056216088874,0.9263195773035546,0.017834188314378167,0.016335933857808748,0.9159897590987359,-0.010219261912983101,0.0009860074153871402,True
P1D2,L3,model,qwen3-8b,300,0.022089716422299073,0.015277027793727157,0.6915900368148384,0.02126914974186601,0.014798666941190279,0.6957808431834354,-0.009273612322234046,0.002981684271385469,True
P1D2,L3,overall,all,1800,0.025919664177237022,0.021943072024673813,0.8465801051521531,0.023824529430494904,0.020031069533690226,0.8407750336529574,-0.00714993984030347,0.003959949672827143,True
P1D2,L3,segment,burstgpt_1,600,0.027437390277326827,0.024126897028069888,0.879343727089358,0.023219143001656877,0.020712278034773525,0.8920345610212889,-0.004105723550230243,0.003938504286428171,True
P1D2,L3,segment,burstgpt_2,600,0.024082835997165743,0.01723913033404418,0.7158264224393264,0.023473383524131485,0.016271896976138036,0.693206284445953,-0.012725278802473415,0.0027507648790643957,True
P1D2,L3,segment,burstgpt_3,600,0.026238766257218493,0.024463188711907374,0.932329991132009,0.024738951137807382,0.02216080353805642,0.8957858970904025,-0.006166420891666094,0.004902277249719742,True
P1D4,L1,model,deepseek-v2-lite,300,0.04432525199603898,0.04391140249632647,0.9906633469393589,0.03021413309464156,0.03006214524019485,0.9949696437104242,-0.0018854780491610078,0.004144321941553433,True
P1D4,L1,model,qwen3-8b,300,0.02330790656576954,0.016064202134113963,0.6892168581843456,0.022381942252423955,0.015479700751990639,0.691615614829593,-0.010287825237270365,0.0028349912806668025,True
P1D4,L1,overall,all,600,0.03381657928090426,0.029987802315220215,0.8867781115919641,0.027582955486805647,0.02516326034606613,0.9122757116474708,-0.004708196266833639,0.0037044601473784793,True
