profile_id,source,sample_label,sample_requests,pp_size,microbatch,prefill_proxy_calls_per_1000,decode_proxy_calls_per_1000,total_logical_bytes_per_1000
profile_05_burstgpt_1_c4,burstgpt,h64,64,8,1,2000.0,95406.25,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,8,4,1156.25,33281.25,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h64,64,8,16,406.25,28031.25,12999424000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,2,1,2000.0,95765.625,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,2,4,1843.75,25937.5,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,2,16,1312.5,8078.125,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,4,1,2000.0,95765.625,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,4,4,1750.0,26296.875,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,4,16,984.375,9890.625,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,8,1,2000.0,95765.625,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,8,4,1546.875,27593.75,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,h128,128,8,16,437.5,14781.25,14107648000.0
profile_05_burstgpt_1_c4,burstgpt,hfull,157,2,1,2000.0,94878.98089171975,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,2,4,1885.3503184713377,25414.012738853504,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,2,16,1350.3184713375797,7592.356687898089,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,4,1,2000.0,94878.98089171975,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,4,4,1757.9617834394905,25439.490445859876,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,4,16,1159.235668789809,9159.23566878981,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,8,1,2000.0,94878.98089171975,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,8,4,1617.8343949044588,27707.006369426752,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,hfull,157,8,16,496.81528662420385,12522.292993630574,13868168968.152866
profile_05_burstgpt_1_c4,burstgpt,compact32,32,2,1,2000.0,95000.0,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,2,4,1312.5,28312.5,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,2,16,500.0,11625.0,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,4,1,2000.0,95000.0,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,4,4,1062.5,30125.0,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,4,16,437.5,23250.0,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,8,1,2000.0,95000.0,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,8,4,500.0,46500.0,13459456000.0
profile_05_burstgpt_1_c4,burstgpt,compact32,32,8,16,437.5,40687.5,13459456000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,2,1,2000.0,51187.5,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,2,4,1625.0,19750.0,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,2,16,187.5,13125.0,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,4,1,2000.0,51187.5,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,4,4,1062.5,25937.5,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,4,16,187.5,21062.5,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,8,1,2000.0,51187.5,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,8,4,500.0,36437.5,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h32,32,8,16,187.5,21062.5,5078528000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,2,1,2000.0,54156.25,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,2,4,1562.5,15343.75,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,2,16,531.25,8812.5,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,4,1,2000.0,54156.25,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,4,4,1562.5,18687.5,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,4,16,187.5,15406.25,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,8,1,2000.0,54156.25,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,8,4,1000.0,25687.5,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h64,64,8,16,156.25,19375.0,5003520000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,2,1,2000.0,56921.875,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,2,4,1812.5,16328.125,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,2,16,1312.5,5640.625,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,4,1,2000.0,56921.875,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,4,4,1671.875,17125.0,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,4,16,515.625,8390.625,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,8,1,2000.0,56921.875,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,8,4,1546.875,20843.75,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,h128,128,8,16,187.5,14906.25,5003392000.0
profile_06_burstgpt_2_c0,burstgpt,hfull,931,2,1,2000.0,61959.18367346939,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,2,4,1922.6638023630505,16221.267454350162,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,2,16,1540.2792696025779,4326.530612244898,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,4,1,2000.0,61959.18367346939,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,4,4,1918.3673469387757,16182.599355531687,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,4,16,1505.9076262083781,4549.946294307197,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,8,1,2000.0,61959.18367346939,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,8,4,1868.9581095596134,16696.025778732546,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,hfull,931,8,16,1349.0870032223415,5160.042964554243,5217116116.004296
profile_06_burstgpt_2_c0,burstgpt,compact32,32,2,1,2000.0,59562.5,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,2,4,1187.5,18687.5,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,2,16,250.0,12500.0,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,4,1,2000.0,59562.5,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,4,4,750.0,27437.5,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,4,16,187.5,18750.0,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,8,1,2000.0,59562.5,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,8,4,500.0,35250.0,5071872000.0
profile_06_burstgpt_2_c0,burstgpt,compact32,32,8,16,187.5,18750.0,5071872000.0
profile_07_burstgpt_2_c1,burstgpt,h32,32,2,1,2000.0,54500.0,10121728000.0
profile_07_burstgpt_2_c1,burstgpt,h32,32,2,4,1562.5,18250.0,10121728000.0
profile_07_burstgpt_2_c1,burstgpt,h32,32,2,16,375.0,12125.0,10121728000.0
profile_07_burstgpt_2_c1,burstgpt,h32,32,4,1,2000.0,54500.0,10121728000.0
