topology,backend,op,algorithm,group_size,repeat_id,payload_scope,payload_bytes,intrinsic_median_latency_us,intrinsic_p95_latency_us,completion_median_latency_us,completion_p95_latency_us,rank_skew_median_us,rank_skew_p95_us,ring_equivalent_factor,ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,131072,6.239999999999782,7.233649999999943,9.647999999999229,12.247949999999124,3.4880000000002838,6.556750000000191,1.0,21.00512820512894
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,131072,6.271999999999025,7.011149999999816,9.775499999999965,14.336000000000286,3.5359999999989213,7.8800000000012,1.0,20.897959183676715
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,131072,6.239999999999782,7.072000000000116,10.192000000000462,12.009599999999955,3.9679999999993925,5.996800000000348,1.0,21.00512820512894
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,262144,6.304000000000087,7.361600000000544,9.696500000000015,12.581700000000227,3.488999999999578,6.183950000001231,1.0,41.583756345177086
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,262144,6.336000000000695,7.36159999999968,9.903999999999542,12.18239999999987,3.630999999999858,5.937600000000019,1.0,41.373737373732844
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,262144,6.335999999999331,7.267200000000957,9.631500000000187,11.968949999999902,3.487999999999829,5.592000000001063,1.0,41.37373737374175
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,262144,6.33600000000024,7.457600000000093,9.647499999999582,14.912000000000262,3.3919999999994843,8.513600000000588,1.0,41.37373737373581
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,262144,6.320000000000164,7.39360000000004,10.096000000000004,12.46720000000032,3.8554999999996653,6.193000000000142,1.0,41.47848101265715
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,524288,6.751999999999299,7.969599999999855,10.847999999999502,13.094350000000484,4.1919999999995525,6.520599999999011,1.0,77.64928909953412
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,1,representative-rank-logical-input,524288,6.784000000000333,7.906549999998878,10.656000000000176,12.558400000000573,3.823999999998705,6.060850000001344,1.0,77.28301886792075
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,524288,6.783999999999651,7.747200000000611,11.135999999999967,16.420800000000007,4.543500000000677,9.611200000000187,1.0,77.28301886792852
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,524288,6.816000000000031,7.939199999999709,10.479999999999563,14.83354999999981,3.77599999999984,8.199950000000001,1.0,76.92018779342688
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,524288,6.783999999999821,7.654399999999259,10.47999999999979,12.545599999999876,3.8079999999999927,5.796749999999474,1.0,77.28301886792656
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,0,representative-rank-logical-input,1048576,7.568000000000126,9.091199999999754,11.72800000000052,14.571200000000362,4.271500000000287,7.273600000000988,1.0,138.5539112050717
