pp_size,max_microbatch,profile_id,source,segment,rps,interarrival_cv,repeat,phase,histogram_changed,profiled_boundary_calls,draining_boundary_calls,calls_delta_fraction,profiled_boundary_bytes,draining_boundary_bytes,bytes_delta_fraction,calls_distribution_tvd,profiled_pipeline_calls,draining_pipeline_calls,profiled_pipeline_bytes,draining_pipeline_bytes
4,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,decode,1,1118,476,1.3487394957983194,10043392,10043392,0.0,0.5546218487394958,3354,1428,30130176,30130176
4,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,prefill,1,64,42,0.5238095238095238,62160896,62160896,0.0,0.43601190476190477,192,126,186482688,186482688
4,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,decode,1,1026,452,1.2699115044247788,10043392,10043392,0.0,0.5863651261881351,3078,1356,30130176,30130176
4,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,prefill,1,64,42,0.5238095238095238,62160896,62160896,0.0,0.43601190476190477,192,126,186482688,186482688
4,4,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,decode,1,990,486,1.037037037037037,10043392,10043392,0.0,0.46988402543958097,2970,1458,30130176,30130176
4,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,prefill,1,100,86,0.16279069767441862,2398896128,2398896128,0.0,0.24,300,258,7196688384,7196688384
4,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,decode,1,1622,1058,0.5330812854442344,37273600,37273600,0.0,0.4882371177034117,4866,3174,111820800,111820800
4,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,prefill,1,98,88,0.11363636363636363,2398896128,2398896128,0.0,0.2388682745825603,294,264,7196688384,7196688384
4,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,decode,1,1420,1178,0.20543293718166383,37273600,37273600,0.0,0.3872737272531624,4260,3534,111820800,111820800
4,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,prefill,1,98,88,0.11363636363636363,2398896128,2398896128,0.0,0.24257884972170682,294,264,7196688384,7196688384
