model_id,topology_level,page_count,payload_bytes,replica_0_us,replica_1_us,official_latency_us,relative_spread,above_threshold
llama-3.2-3b-instruct,L1,12,1376256,80.384,100.3275,100.3275,0.19878398245745185,False
llama-3.2-3b-instruct,L1,16,1835008,91.4725,108.9315,108.9315,0.1602750352285611,False
llama-3.2-3b-instruct,L1,24,2752512,110.771,127.0475,127.0475,0.12811350085597906,False
llama-3.2-3b-instruct,L1,32,3670016,129.632,145.4905,145.4905,0.10900024400218566,False
llama-3.2-3b-instruct,L1,48,5505024,184.3225,202.469,202.469,0.08962606621260541,False
llama-3.2-3b-instruct,L1,64,7340032,222.17700000000002,240.8565,240.8565,0.07755447745856968,False
llama-3.2-3b-instruct,L1,96,11010048,314.947,340.3415,340.3415,0.07461476193764202,False
llama-3.2-3b-instruct,L1,128,14680064,393.797,439.087,439.087,0.10314584581187775,False
llama-3.2-3b-instruct,L1,192,22020096,569.01,630.233,630.233,0.09714343742711024,False
llama-3.2-3b-instruct,L1,256,29360128,745.959,807.004,807.004,0.07564398689473667,False
llama-3.2-3b-instruct,L1,384,44040192,1063.605,1086.1615000000002,1086.1615000000002,0.020767169523132737,False
llama-3.2-3b-instruct,L1,512,58720256,1389.33,1431.1625,1431.1625,0.0292297345689256,False
llama-3.2-3b-instruct,L1,768,88080384,2108.0254999999997,2105.8425,2108.0254999999997,0.0010355662206171313,False
llama-3.2-3b-instruct,L1,1024,117440512,2731.0834999999997,2799.5254999999997,2799.5254999999997,0.02444771444303687,False
llama-3.2-3b-instruct,L1,1536,176160768,4089.83,4178.6515,4178.6515,0.021256020034214392,False
llama-3.2-3b-instruct,L1,2048,234881024,5430.1,5557.11,5557.11,0.022855405057664743,False
llama-3.2-3b-instruct,L1,3072,352321536,8236.071,8540.950499999999,8540.950499999999,0.03569620266503115,False
llama-3.2-3b-instruct,L1,4096,469762048,11063.597,11329.937,11329.937,0.023507632919759408,False
llama-3.2-3b-instruct,L2,1,114688,68.0415,68.23849999999999,68.23849999999999,0.0028869333294253034,False
llama-3.2-3b-instruct,L2,2,229376,77.029,76.995,77.029,0.0004413922029364501,False
llama-3.2-3b-instruct,L2,3,344064,78.167,78.16,78.167,8.955185692178288e-05,False
llama-3.2-3b-instruct,L2,4,458752,79.2885,79.2445,79.2885,0.0005549354572226354,False
llama-3.2-3b-instruct,L2,6,688128,83.6015,83.3295,83.6015,0.0032535301400095163,False
llama-3.2-3b-instruct,L2,8,917504,87.1075,86.997,87.1075,0.001268547484430179,False
llama-3.2-3b-instruct,L2,12,1376256,95.844,95.3715,95.844,0.004929886064855355,False
llama-3.2-3b-instruct,L2,16,1835008,104.53200000000001,104.535,104.535,2.86985220259808e-05,False
llama-3.2-3b-instruct,L2,24,2752512,123.0635,122.69,123.0635,0.0030350185067059446,False
llama-3.2-3b-instruct,L2,32,3670016,141.2875,141.1575,141.2875,0.0009201097053879179,False
llama-3.2-3b-instruct,L2,48,5505024,199.1015,198.9415,199.1015,0.0008036102189084291,False
llama-3.2-3b-instruct,L2,64,7340032,235.512,236.0805,236.0805,0.002408076905970634,False
llama-3.2-3b-instruct,L2,96,11010048,336.759,336.508,336.759,0.000745340139387613,False
llama-3.2-3b-instruct,L2,128,14680064,434.7905,432.43399999999997,434.7905,0.005419851629693012,False
llama-3.2-3b-instruct,L2,192,22020096,626.349,625.677,626.349,0.0010728842865559383,False
llama-3.2-3b-instruct,L2,256,29360128,799.462,795.049,799.462,0.005519962174562407,False
llama-3.2-3b-instruct,L2,384,44040192,1085.3195,1084.6235,1085.3195,0.000641285814914539,False
llama-3.2-3b-instruct,L2,512,58720256,1425.307,1424.9565,1425.307,0.00024591193335892614,False
llama-3.2-3b-instruct,L2,768,88080384,2110.0159999999996,2109.672,2110.0159999999996,0.00016303193909410937,False
llama-3.2-3b-instruct,L2,1024,117440512,2835.2,2815.3869999999997,2835.2,0.006988219525959404,False
llama-3.2-3b-instruct,L2,1536,176160768,4266.785,4255.682000000001,4266.785,0.0026021934547907047,False
