round,candidate_id,kind,bin,target_sum,predicted_sum,signed_bias,relative_signed_bias
0,p58_r0_from_0_mlp,calls,9,345451.4823159769,328536.1492659744,-16915.33305000246,-0.04896587195573351
0,p58_r0_from_0_mlp,calls,10,4737.760266255596,3763.9421898941737,-973.8180763614228,-0.2055439747125623
0,p58_r0_from_0_mlp,calls,11,0.0,1.3230415470346812,1.3230415470346812,1323041547034.6812
0,p58_r0_from_0_mlp,logical_bytes,0,0.0,81543108.39032578,81543108.39032578,8.154310839032578e+19
0,p58_r0_from_0_mlp,logical_bytes,1,0.0,81543177.78442913,81543177.78442913,8.154317778442913e+19
0,p58_r0_from_0_mlp,logical_bytes,2,217142753.13857418,165465275.12711817,-51677478.01145601,-0.23798849956773344
0,p58_r0_from_0_mlp,logical_bytes,3,1680304948.9872465,653313953.140354,-1026990995.8468925,-0.6111932220790521
0,p58_r0_from_0_mlp,logical_bytes,4,29688525019.17854,7655644219.129555,-22032880800.048985,-0.7421345717180603
0,p58_r0_from_0_mlp,logical_bytes,5,1086554615181.949,968954086771.5692,-117600528410.37976,-0.10823250554293304
0,p58_r0_from_0_mlp,logical_bytes,6,19359287150266.773,16194039389876.746,-3165247760390.0273,-0.16350022270042158
0,p58_r0_from_0_mlp,logical_bytes,7,108272547556364.53,113424429687384.28,5151882131019.75,0.04758253359040788
0,p58_r0_from_0_mlp,logical_bytes,8,162453449513508.2,167805249630066.25,5351800116558.0625,0.0329435917340312
0,p58_r0_from_0_mlp,logical_bytes,9,118285301917077.61,111367012163825.25,-6918289753252.359,-0.05848816075307765
0,p58_r0_from_0_mlp,logical_bytes,10,3794547254511.1694,2948733778203.2705,-845813476307.8989,-0.22290234369919856
0,p58_r0_from_0_mlp,logical_bytes,11,0.0,81549328.94410244,81549328.94410244,8.154932894410244e+19
0,p58_r0_from_0_blend,calls,0,0.0,1.3222462638238808,1.3222462638238808,1322246263823.8809
0,p58_r0_from_0_blend,calls,1,0.0,1.322229586169403,1.322229586169403,1322229586169.4028
0,p58_r0_from_0_blend,calls,2,1767.1122488490737,664.2588375956886,-1102.853411253385,-0.6240992398596509
0,p58_r0_from_0_blend,calls,3,5031.999230663869,1660.176974960927,-3371.8222557029417,-0.6700760674118981
0,p58_r0_from_0_blend,calls,4,24606.282118418683,6654.481674247736,-17951.80044417095,-0.7295616768830503
0,p58_r0_from_0_blend,calls,5,310558.6082667991,285213.3295733582,-25345.278693440952,-0.08161190196881282
0,p58_r0_from_0_blend,calls,6,1551119.6880495693,1389475.0836043342,-161644.6044452351,-0.10421156129382417
0,p58_r0_from_0_blend,calls,7,2904284.948131066,3099843.3470925563,195558.3989614905,0.06733443944174076
0,p58_r0_from_0_blend,calls,8,1391137.5597245158,1408324.0955696038,17186.535845088074,0.01235430365958309
0,p58_r0_from_0_blend,calls,9,345451.4823159769,329532.83300031413,-15918.64931566274,-0.046080709247333033
0,p58_r0_from_0_blend,calls,10,4737.760266255596,3823.287531508236,-914.4727347473604,-0.19301794167607755
0,p58_r0_from_0_blend,calls,11,0.0,1.322256234525296,1.322256234525296,1322256234525.296
0,p58_r0_from_0_blend,logical_bytes,0,0.0,81478173.13526028,81478173.13526028,8.147817313526029e+19
0,p58_r0_from_0_blend,logical_bytes,1,0.0,81473149.91853203,81473149.91853203,8.147314991853203e+19
0,p58_r0_from_0_blend,logical_bytes,2,217142753.13857418,168152254.03491598,-48990499.1036582,-0.22561424867075297
0,p58_r0_from_0_blend,logical_bytes,3,1680304948.9872465,666832255.9063973,-1013472693.0808492,-0.6031480736229989
0,p58_r0_from_0_blend,logical_bytes,4,29688525019.17854,7788262256.763403,-21900262762.41514,-0.7376675920500514
0,p58_r0_from_0_blend,logical_bytes,5,1086554615181.949,969503118072.9801,-117051497108.96887,-0.10772720991053727
0,p58_r0_from_0_blend,logical_bytes,6,19359287150266.773,16172747377375.305,-3186539772891.4688,-0.16460005723131999
0,p58_r0_from_0_blend,logical_bytes,7,108272547556364.53,113450140197843.8,5177592641479.266,0.04781999461852428
0,p58_r0_from_0_blend,logical_bytes,8,162453449513508.2,167757698842607.44,5304249329099.25,0.032650887654178104
0,p58_r0_from_0_blend,logical_bytes,9,118285301917077.61,111425293164531.47,-6860008752546.141,-0.05799544526128243
0,p58_r0_from_0_blend,logical_bytes,10,3794547254511.1694,2982905663309.247,-811641591201.9224,-0.21389682003221797
0,p58_r0_from_0_blend,logical_bytes,11,0.0,81473290.86685209,81473290.86685209,8.147329086685209e+19
0,p58_r0_from_1_ridge,calls,0,0.0,0.0,0.0,0.0
0,p58_r0_from_1_ridge,calls,1,0.0,0.0,0.0,0.0
0,p58_r0_from_1_ridge,calls,2,1767.1122488490737,900.3944646550306,-866.7177841940431,-0.49047126732245755
0,p58_r0_from_1_ridge,calls,3,5031.999230663869,3587.220832016131,-1444.7783986477375,-0.2871181676347611
0,p58_r0_from_1_ridge,calls,4,24606.282118418683,14383.600609419476,-10222.681508999207,-0.41545006514198923
0,p58_r0_from_1_ridge,calls,5,310558.6082667991,356114.5135511634,45555.9052843643,0.14669020298167837
0,p58_r0_from_1_ridge,calls,6,1551119.6880495693,1289403.4900885532,-261716.1979610161,-0.16872727486948924
0,p58_r0_from_1_ridge,calls,7,2904284.948131066,3089753.371877335,185468.4237462692,0.06386027096467234
